Date,Confirmed
2020-01-22,1
2020-01-23,9
2020-01-24,15
2020-01-25,39
2020-01-26,60
2020-01-27,70
2020-01-28,106
2020-01-29,152
2020-01-30,200
2020-01-31,237
2020-02-01,297
2020-02-02,340
2020-02-03,408
2020-02-04,480
2020-02-05,530
2020-02-06,591
2020-02-07,665
2020-02-08,733
2020-02-09,779
2020-02-10,830
2020-02-11,860
2020-02-12,889
2020-02-13,910
2020-02-14,934
2020-02-15,950
2020-02-16,962
2020-02-17,973
2020-02-18,982
2020-02-19,986
2020-02-20,987
2020-02-21,988
2020-02-22,989
2020-02-23,989
2020-02-24,989
2020-02-25,989
2020-02-26,989
2020-02-27,989
2020-02-28,990
2020-02-29,990
2020-03-01,990
2020-03-02,990
2020-03-03,990
2020-03-04,990
2020-03-05,990
2020-03-06,990
2020-03-07,990
2020-03-08,990
2020-03-09,990
2020-01-22,14
2020-01-23,22
2020-01-24,36
2020-01-25,41
2020-01-26,68
2020-01-27,80
2020-01-28,91
2020-01-29,111
2020-01-30,114
2020-01-31,139
2020-02-01,168
2020-02-02,191
2020-02-03,212
2020-02-04,228
2020-02-05,253
2020-02-06,274
2020-02-07,297
2020-02-08,315
2020-02-09,326
2020-02-10,337
2020-02-11,342
2020-02-12,352
2020-02-13,366
2020-02-14,372
2020-02-15,375
2020-02-16,380
2020-02-17,381
2020-02-18,387
2020-02-19,393
2020-02-20,395
2020-02-21,396
2020-02-22,399
2020-02-23,399
2020-02-24,399
2020-02-25,400
2020-02-26,400
2020-02-27,410
2020-02-28,410
2020-02-29,411
2020-03-01,413
2020-03-02,414
2020-03-03,414
2020-03-04,418
2020-03-05,418
2020-03-06,422
2020-03-07,426
2020-03-08,428
2020-03-09,428
2020-01-22,6
2020-01-23,9
2020-01-24,27
2020-01-25,57
2020-01-26,75
2020-01-27,110
2020-01-28,132
2020-01-29,147
2020-01-30,182
2020-01-31,211
2020-02-01,247
2020-02-02,300
2020-02-03,337
2020-02-04,366
2020-02-05,389
2020-02-06,411
2020-02-07,426
2020-02-08,428
2020-02-09,468
2020-02-10,486
2020-02-11,505
2020-02-12,518
2020-02-13,529
2020-02-14,537
2020-02-15,544
2020-02-16,551
2020-02-17,553
2020-02-18,555
2020-02-19,560
2020-02-20,567
2020-02-21,572
2020-02-22,573
2020-02-23,575
2020-02-24,576
2020-02-25,576
2020-02-26,576
2020-02-27,576
2020-02-28,576
2020-02-29,576
2020-03-01,576
2020-03-02,576
2020-03-03,576
2020-03-04,576
2020-03-05,576
2020-03-06,576
2020-03-07,576
2020-03-08,576
2020-03-09,576
2020-01-22,1
2020-01-23,5
2020-01-24,10
2020-01-25,18
2020-01-26,35
2020-01-27,59
2020-01-28,80
2020-01-29,84
2020-01-30,101
2020-01-31,120
2020-02-01,144
2020-02-02,159
2020-02-03,179
2020-02-04,194
2020-02-05,205
2020-02-06,215
2020-02-07,224
2020-02-08,239
2020-02-09,250
2020-02-10,261
2020-02-11,267
2020-02-12,272
2020-02-13,279
2020-02-14,281
2020-02-15,285
2020-02-16,287
2020-02-17,290
2020-02-18,292
2020-02-19,293
2020-02-20,293
2020-02-21,293
2020-02-22,293
2020-02-23,293
2020-02-24,293
2020-02-25,294
2020-02-26,294
2020-02-27,296
2020-02-28,296
2020-02-29,296
2020-03-01,296
2020-03-02,296
2020-03-03,296
2020-03-04,296
2020-03-05,296
2020-03-06,296
2020-03-07,296
2020-03-08,296
2020-03-09,296
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,4
2020-01-26,7
2020-01-27,14
2020-01-28,19
2020-01-29,24
2020-01-30,26
2020-01-31,29
2020-02-01,40
2020-02-02,51
2020-02-03,55
2020-02-04,57
2020-02-05,62
2020-02-06,62
2020-02-07,67
2020-02-08,79
2020-02-09,83
2020-02-10,83
2020-02-11,86
2020-02-12,87
2020-02-13,90
2020-02-14,90
2020-02-15,90
2020-02-16,90
2020-02-17,91
2020-02-18,91
2020-02-19,91
2020-02-20,91
2020-02-21,91
2020-02-22,91
2020-02-23,91
2020-02-24,91
2020-02-25,91
2020-02-26,91
2020-02-27,91
2020-02-28,91
2020-02-29,91
2020-03-01,91
2020-03-02,91
2020-03-03,91
2020-03-04,91
2020-03-05,102
2020-03-06,119
2020-03-07,120
2020-03-08,124
2020-03-09,124
2020-01-22,26
2020-01-23,32
2020-01-24,53
2020-01-25,78
2020-01-26,111
2020-01-27,151
2020-01-28,207
2020-01-29,277
2020-01-30,354
2020-01-31,436
2020-02-01,535
2020-02-02,632
2020-02-03,725
2020-02-04,813
2020-02-05,895
2020-02-06,970
2020-02-07,1034
2020-02-08,1095
2020-02-09,1131
2020-02-10,1159
2020-02-11,1177
2020-02-12,1219
2020-02-13,1241
2020-02-14,1261
2020-02-15,1294
2020-02-16,1316
2020-02-17,1322
2020-02-18,1328
2020-02-19,1331
2020-02-20,1332
2020-02-21,1333
2020-02-22,1339
2020-02-23,1342
2020-02-24,1345
2020-02-25,1347
2020-02-26,1347
2020-02-27,1347
2020-02-28,1348
2020-02-29,1349
2020-03-01,1349
2020-03-02,1350
2020-03-03,1350
2020-03-04,1350
2020-03-05,1351
2020-03-06,1352
2020-03-07,1352
2020-03-08,1352
2020-03-09,1352
2020-01-22,2
2020-01-23,5
2020-01-24,23
2020-01-25,23
2020-01-26,36
2020-01-27,46
2020-01-28,51
2020-01-29,58
2020-01-30,78
2020-01-31,87
2020-02-01,100
2020-02-02,111
2020-02-03,127
2020-02-04,139
2020-02-05,150
2020-02-06,168
2020-02-07,172
2020-02-08,183
2020-02-09,195
2020-02-10,210
2020-02-11,215
2020-02-12,222
2020-02-13,222
2020-02-14,226
2020-02-15,235
2020-02-16,237
2020-02-17,238
2020-02-18,242
2020-02-19,244
2020-02-20,245
2020-02-21,246
2020-02-22,249
2020-02-23,249
2020-02-24,251
2020-02-25,252
2020-02-26,252
2020-02-27,252
2020-02-28,252
2020-02-29,252
2020-03-01,252
2020-03-02,252
2020-03-03,252
2020-03-04,252
2020-03-05,252
2020-03-06,252
2020-03-07,252
2020-03-08,252
2020-03-09,252
2020-01-22,1
2020-01-23,3
2020-01-24,3
2020-01-25,4
2020-01-26,5
2020-01-27,7
2020-01-28,9
2020-01-29,9
2020-01-30,12
2020-01-31,29
2020-02-01,29
2020-02-02,38
2020-02-03,46
2020-02-04,58
2020-02-05,64
2020-02-06,71
2020-02-07,81
2020-02-08,89
2020-02-09,99
2020-02-10,109
2020-02-11,127
2020-02-12,133
2020-02-13,135
2020-02-14,140
2020-02-15,143
2020-02-16,144
2020-02-17,146
2020-02-18,146
2020-02-19,146
2020-02-20,146
2020-02-21,146
2020-02-22,146
2020-02-23,146
2020-02-24,146
2020-02-25,146
2020-02-26,146
2020-02-27,146
2020-02-28,146
2020-02-29,146
2020-03-01,146
2020-03-02,146
2020-03-03,146
2020-03-04,146
2020-03-05,146
2020-03-06,146
2020-03-07,146
2020-03-08,146
2020-03-09,146
2020-01-22,4
2020-01-23,5
2020-01-24,8
2020-01-25,19
2020-01-26,22
2020-01-27,33
2020-01-28,40
2020-01-29,43
2020-01-30,46
2020-01-31,52
2020-02-01,62
2020-02-02,64
2020-02-03,72
2020-02-04,80
2020-02-05,99
2020-02-06,106
2020-02-07,117
2020-02-08,124
2020-02-09,131
2020-02-10,138
2020-02-11,144
2020-02-12,157
2020-02-13,157
2020-02-14,159
2020-02-15,162
2020-02-16,162
2020-02-17,163
2020-02-18,163
2020-02-19,168
2020-02-20,168
2020-02-21,168
2020-02-22,168
2020-02-23,168
2020-02-24,168
2020-02-25,168
2020-02-26,168
2020-02-27,168
2020-02-28,168
2020-02-29,168
2020-03-01,168
2020-03-02,168
2020-03-03,168
2020-03-04,168
2020-03-05,168
2020-03-06,168
2020-03-07,168
2020-03-08,168
2020-03-09,168
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,8
2020-01-26,13
2020-01-27,18
2020-01-28,33
2020-01-29,48
2020-01-30,65
2020-01-31,82
2020-02-01,96
2020-02-02,104
2020-02-03,113
2020-02-04,126
2020-02-05,135
2020-02-06,157
2020-02-07,172
2020-02-08,195
2020-02-09,206
2020-02-10,218
2020-02-11,239
2020-02-12,251
2020-02-13,265
2020-02-14,283
2020-02-15,291
2020-02-16,300
2020-02-17,301
2020-02-18,306
2020-02-19,306
2020-02-20,307
2020-02-21,308
2020-02-22,309
2020-02-23,311
2020-02-24,311
2020-02-25,311
2020-02-26,312
2020-02-27,317
2020-02-28,318
2020-02-29,318
2020-03-01,318
2020-03-02,318
2020-03-03,318
2020-03-04,318
2020-03-05,318
2020-03-06,318
2020-03-07,318
2020-03-08,318
2020-03-09,318
2020-01-22,0
2020-01-23,2
2020-01-24,4
2020-01-25,9
2020-01-26,15
2020-01-27,21
2020-01-28,33
2020-01-29,38
2020-01-30,44
2020-01-31,59
2020-02-01,80
2020-02-02,95
2020-02-03,121
2020-02-04,155
2020-02-05,190
2020-02-06,227
2020-02-07,277
2020-02-08,295
2020-02-09,307
2020-02-10,331
2020-02-11,360
2020-02-12,378
2020-02-13,395
2020-02-14,419
2020-02-15,425
2020-02-16,445
2020-02-17,457
2020-02-18,464
2020-02-19,470
2020-02-20,476
2020-02-21,479
2020-02-22,479
2020-02-23,480
2020-02-24,480
2020-02-25,480
2020-02-26,480
2020-02-27,480
2020-02-28,480
2020-02-29,480
2020-03-01,480
2020-03-02,480
2020-03-03,480
2020-03-04,480
2020-03-05,481
2020-03-06,481
2020-03-07,481
2020-03-08,481
2020-03-09,481
2020-01-22,5
2020-01-23,5
2020-01-24,9
2020-01-25,32
2020-01-26,83
2020-01-27,128
2020-01-28,168
